Channel Statistics Report (Testing Phase)
Summary per channel (Final State):
Channel                                       | Total  | Active | Failed | Success%
https://t.me/s/v2ray_collector                | 20     | 18     | 2      |   90.0%
https://t.me/s/mtproxy22_v2ray                | 18     | 15     | 3      |   83.3%
https://t.me/s/mowjproxy                      | 7      | 5      | 2      |   71.4%
https://t.me/s/vmesc                          | 17     | 12     | 5      |   70.6%
https://t.me/s/proxy_mtproto_vpns_free        | 5      | 3      | 2      |   60.0%
https://t.me/s/outline_ir                     | 17     | 10     | 7      |   58.8%
https://t.me/s/customv2ray                    | 12     | 7      | 5      |   58.3%
https://t.me/s/info_2it_channel               | 16     | 9      | 7      |   56.2%
https://t.me/s/v2ray_extractor                | 11     | 6      | 5      |   54.5%
https://t.me/s/v2ray_v_vpn                    | 14     | 7      | 7      |   50.0%
https://t.me/s/ip_cf_config                   | 2      | 1      | 1      |   50.0%
https://t.me/s/vaynora                        | 19     | 9      | 10     |   47.4%
https://t.me/s/gozargah_azadi                 | 13     | 6      | 7      |   46.2%
https://t.me/s/viturey                        | 18     | 8      | 10     |   44.4%
https://t.me/s/vmess_ir                       | 18     | 8      | 10     |   44.4%
https://t.me/s/surfboardv2ray                 | 9      | 4      | 5      |   44.4%
https://t.me/s/manzariyeh_rasht               | 15     | 6      | 9      |   40.0%
https://t.me/s/freevpnatm                     | 5      | 2      | 3      |   40.0%
https://t.me/s/v2rayfree                      | 5      | 2      | 3      |   40.0%
https://t.me/s/v2rayn5                        | 18     | 7      | 11     |   38.9%
https://t.me/s/v2ray_official                 | 13     | 5      | 8      |   38.5%
https://t.me/s/proxyandvpnofficial1           | 11     | 4      | 7      |   36.4%
https://t.me/s/connect_sho                    | 17     | 6      | 11     |   35.3%
https://t.me/s/v2trayproxy                    | 18     | 6      | 12     |   33.3%
https://t.me/s/freakconfig                    | 12     | 4      | 8      |   33.3%
https://t.me/s/iran_v2ray1                    | 12     | 4      | 8      |   33.3%
https://t.me/s/antifilterjadid                | 6      | 2      | 4      |   33.3%
https://t.me/s/jiujied                        | 3      | 1      | 2      |   33.3%
https://t.me/s/mehrosaboran                   | 3      | 1      | 2      |   33.3%
https://t.me/s/selinc                         | 16     | 5      | 11     |   31.2%
https://t.me/s/v2rayng_1378                   | 16     | 5      | 11     |   31.2%
https://t.me/s/dailyv2ry                      | 20     | 6      | 14     |   30.0%
https://t.me/s/configv2rayforfree             | 10     | 3      | 7      |   30.0%
https://t.me/s/club_profsor                   | 14     | 4      | 10     |   28.6%
https://t.me/s/moftinet                       | 18     | 5      | 13     |   27.8%
https://t.me/s/v2ray313                       | 18     | 5      | 13     |   27.8%
https://t.me/s/v2ryvip                        | 15     | 4      | 11     |   26.7%
https://t.me/s/sezar_sec                      | 4      | 1      | 3      |   25.0%
https://t.me/s/vipv2rayngnp                   | 9      | 2      | 7      |   22.2%
https://t.me/s/vlessconfig                    | 14     | 3      | 11     |   21.4%
https://t.me/s/config_proxy                   | 15     | 3      | 12     |   20.0%
https://t.me/s/v2ray_configs_pool             | 15     | 3      | 12     |   20.0%
https://t.me/s/v2ray_sub                      | 15     | 3      | 12     |   20.0%
https://t.me/s/v2raych                        | 16     | 3      | 12     |   20.0%
https://t.me/s/rsv2ray                        | 10     | 2      | 8      |   20.0%
https://t.me/s/proxygodratmand                | 6      | 1      | 4      |   20.0%
https://t.me/s/golestan_vpn                   | 16     | 3      | 13     |   18.8%
https://t.me/s/v2ray1_ng                      | 16     | 3      | 13     |   18.8%
https://t.me/s/v2raying                       | 16     | 3      | 13     |   18.8%
https://t.me/s/v2rayngte                      | 16     | 3      | 13     |   18.8%
https://t.me/s/v2rayopen                      | 16     | 3      | 13     |   18.8%
https://t.me/s/kingofilter                    | 18     | 3      | 15     |   16.7%
https://t.me/s/netaccount                     | 18     | 3      | 15     |   16.7%
https://t.me/s/shadowproxy66                  | 12     | 2      | 10     |   16.7%
https://t.me/s/artemisvpn1                    | 6      | 1      | 5      |   16.7%
https://t.me/s/confing_chanel                 | 19     | 3      | 16     |   15.8%
https://t.me/s/getconfigir                    | 19     | 3      | 16     |   15.8%
https://t.me/s/dnsforyou                      | 13     | 2      | 11     |   15.4%
https://t.me/s/game_file2020                  | 13     | 2      | 11     |   15.4%
https://t.me/s/hack_androidapp1               | 13     | 2      | 11     |   15.4%
https://t.me/s/psiphonf                       | 13     | 2      | 11     |   15.4%
https://t.me/s/deamnet_proxy                  | 14     | 2      | 12     |   14.3%
https://t.me/s/v2rayngrit                     | 14     | 2      | 12     |   14.3%
https://t.me/s/azarbayjab1                    | 7      | 1      | 6      |   14.3%
https://t.me/s/jiedianssr                     | 7      | 1      | 6      |   14.3%
https://t.me/s/fast_2ray                      | 16     | 2      | 14     |   12.5%
https://t.me/s/free1_vpn                      | 16     | 2      | 14     |   12.5%
https://t.me/s/configpluse                    | 17     | 2      | 15     |   11.8%
https://t.me/s/skivpn                         | 17     | 2      | 15     |   11.8%
https://t.me/s/free_serverir                  | 18     | 2      | 16     |   11.1%
https://t.me/s/outline_vpn                    | 18     | 2      | 16     |   11.1%
https://t.me/s/v2source                       | 18     | 2      | 16     |   11.1%
https://t.me/s/vpnv2rayngv                    | 18     | 2      | 16     |   11.1%
https://t.me/s/customvpnserver                | 9      | 1      | 8      |   11.1%
https://t.me/s/eliteproxyv2                   | 9      | 1      | 8      |   11.1%
https://t.me/s/summertimeus                   | 9      | 1      | 8      |   11.1%
https://t.me/s/vpn_ocean                      | 9      | 1      | 8      |   11.1%
https://t.me/s/vmesskhodam                    | 19     | 2      | 17     |   10.5%
https://t.me/s/melov2ray                      | 20     | 2      | 18     |   10.0%
https://t.me/s/mahan_ping                     | 10     | 1      | 9      |   10.0%
https://t.me/s/proxy_kafee                    | 10     | 1      | 9      |   10.0%
https://t.me/s/dailytek                       | 11     | 1      | 10     |    9.1%
https://t.me/s/entrynet                       | 11     | 1      | 10     |    9.1%
https://t.me/s/v2ray_cartel                   | 11     | 1      | 10     |    9.1%
https://t.me/s/vpn_mafia                      | 11     | 1      | 10     |    9.1%
https://t.me/s/falcunargo                     | 12     | 1      | 11     |    8.3%
https://t.me/s/v2rayprotocol                  | 12     | 1      | 11     |    8.3%
https://t.me/s/filtershekan_channel           | 13     | 1      | 12     |    7.7%
https://t.me/s/v2rayngvpn                     | 13     | 1      | 12     |    7.7%
https://t.me/s/configms                       | 14     | 1      | 13     |    7.1%
https://t.me/s/kanfig_majani                  | 14     | 1      | 13     |    7.1%
https://t.me/s/lrnbymaa                       | 14     | 1      | 13     |    7.1%
https://t.me/s/mpproxy                        | 14     | 1      | 13     |    7.1%
